PING www.cs.ox.ac.uk (129.67.151.1) 56(84) bytes of data.
[1766469989.316117] From 223.120.11.49 icmp_seq=33589 Time to live exceeded
[1766469989.519214] From 223.120.11.49 icmp_seq=33590 Time to live exceeded
[1766469990.327397] From 223.120.11.49 icmp_seq=33594 Time to live exceeded
[1766469992.567264] From 223.120.11.49 icmp_seq=33605 Time to live exceeded
[1766469992.972229] From 223.120.11.49 icmp_seq=33607 Time to live exceeded
[1766469993.175647] From 223.120.11.49 icmp_seq=33608 Time to live exceeded
[1766470042.324343] From 223.120.11.50 icmp_seq=33849 Time to live exceeded
[1766470042.932432] From 223.120.11.50 icmp_seq=33852 Time to live exceeded
[1766470045.785433] From 223.120.11.50 icmp_seq=33866 Time to live exceeded
[1766470047.413343] From 223.120.11.50 icmp_seq=33874 Time to live exceeded
[1766470047.616535] From 223.120.11.50 icmp_seq=33875 Time to live exceeded
[1766470227.392268] From 223.120.11.49 icmp_seq=34756 Time to live exceeded
[1766470228.611116] From 223.120.11.49 icmp_seq=34762 Time to live exceeded
[1766470228.815704] From 223.120.11.49 icmp_seq=34763 Time to live exceeded
[1766470229.014939] From 223.120.11.49 icmp_seq=34764 Time to live exceeded
[1766470230.027329] From 223.120.11.49 icmp_seq=34769 Time to live exceeded
[1766470230.636136] From 223.120.11.49 icmp_seq=34772 Time to live exceeded
[1766470233.273187] From 223.120.11.50 icmp_seq=34785 Time to live exceeded
